Nombre,Nivel,Domicilio,Barrio,point_x,point_y
Centro Educativo de Nivel Secundario N° 08 Dr. Luis Federico Leloir,Secundario de Jóvenes y Adultos,Reconquista 461,SAN NICOLAS,108283.426802999994834,103024.003351999999722
Centro Educativo de Nivel Secundario N° 03,Secundario de Jóvenes y Adultos,Talcahuano 680,SAN NICOLAS,107084.411368999994011,103211.053723999997601
"Centro de Alfabetización, Educación Básica y Trabajo",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Montes de Oca 1356,BARRACAS,108219.234622000003583,98476.005492299998878
Esc. Primaria p/Adultos N° 06 French y Beruti,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Juncal 690,RETIRO,107860.462350999994669,104066.021206000004895
Inst. Oral Modelo,Inicial Especial - Primario Especial,Tte. Gral. Juan Domingo Perón 2239,BALVANERA,105895.403374999994412,102500.601632999998401
Esc. Primaria p/Adultos N° 07 Presidente Roca,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Libertad 581,SAN NICOLAS,107243.410071999998763,103108.047074999994948
Esc. Primaria p/Adultos N° 08 Nicolás Avellaneda,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Talcahuano 680,SAN NICOLAS,107084.411368999994011,103211.053723999997601
Centro Educativo de Nivel Secundario N° 26,Secundario de Jóvenes y Adultos,Tte. Gral. Juan Domingo Perón 1140,SAN NICOLAS,107344.935763000001316,102598.815463999999338
Esc. Primaria p/Adultos N° 10 Presidente Manuel Quintana,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Lavalle 2366,BALVANERA,105716.371622000006028,102899.111120000001392
Centro Educativo de Nivel Secundario N° 46,Secundario de Jóvenes y Adultos,San Martín 458,SAN NICOLAS,108138.422892999995383,102998.009460000001127
CENOF Centro Sarmiento,Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Sarmiento 2250,BALVANERA,105876.362670999995316,102612.104376000002958
CENOF Centro Angel Gallardo,Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Angel Gallardo 246,CABALLITO,102477.306517000004533,102849.247195000003558
Centro Educativo de Nivel Primario N° 58 - 61 y 27,Primario de Jóvenes y Adultos,Guaraní 272,NUEVA POMPEYA,104432.584281999996165,98620.011000700003933
Esc. Primaria p/Adultos N° 19 Florencio Balcarce,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Francisco Acuña de Figueroa 850,ALMAGRO,103694.343603999994230,103168.196062999995775
CENOF Centro Pringles,Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Pringles 1165,ALMAGRO,103335.349172000002000,103466.211257000002661
Esc. Primaria Común N° 08 San Juan Bosco,Primario Común,Mercedes 4966,VILLA DEVOTO,94816.207070999997086,104027.569044000003487
Esc. de Educación Media N° 01/05° E.Reingreso Norberto Julio Morresi,Secundario de Jóvenes y Adultos,Juan Carlos Gomez 253,PARQUE PATRICIOS,106553.230672000005143,99155.075605399993947
Esc. Integral Interdisciplinaria N° 05,Primario Especial - Otros Servicios Educativos de la modalidad Especial,José A. Cortejarena 3350,PARQUE PATRICIOS,104921.167283000002499,98401.144001699998626
Centro Educativo para Niños en Tiempos y Espacios Singulares N° 01,Inicial Especial - Primario Especial,Dr. Ramón Carrillo 317,BARRACAS,107410.708019999990938,99138.354518499996630
"Centro de Alfabetización, Educación Básica y Trabajo N° 01",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Villa 31 Calle 5 Mza. 16 Casa 1 B° Güemes,RETIRO,107720.007702999995672,105210.202577999996720
Centro Educativo de Nivel Primario N° 54,Primario de Jóvenes y Adultos,Avda. Olivera 1215,PARQUE AVELLANEDA,98233.995557300004293,97463.167591200020979
Bachillerato con Orientación Artística N° 04 Xul Solar,Secundario de Jóvenes y Adultos,Avda. Jujuy 150,BALVANERA,105244.323944999996456,101982.130913999993936
Esc. de Educación Media N° 05/19° E.Reingreso,Secundario Común - Secundario de Jóvenes y Adultos,Avda. Gral. Fernández de la Cruz 3605,VILLA SOLDATI,101254.248600999999326,96198.142993999979808
Esc. Primaria p/Adultos N° 15 Cap. Gral. Bernardo O'Higgins,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Federico Lacroze 2971,COLEGIALES,101315.416637000002083,106009.296304000003147
Esc. Primaria p/Adultos N° 16 Cap. de Fragata Carlos María Moyano,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Moldes 1102,COLEGIALES,101011.434227999998257,106569.309057999998913
Esc. Primaria p/Adultos N° 17 Blas Parera,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Armenia 2214,PALERMO,103699.554203000006964,104857.615365000005113
Jardín de Infantes Nucleado D (EPCjc 18/09°),Inicial Común,Malabia 964,VILLA CRESPO,102664.352390999993077,103855.239426000000094
Esc. Primaria p/Adultos N° 23 Dr. José María Bustillo,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Thames 1361,PALERMO,102680.813779999996768,104424.239193000001251
"Centro de Alfabetización, Educación Básica y Trabajo N° 79 Asamblea Popular Plaza Dorrego",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. San Juan 803,CONSTITUCION,107810.656235999995260,100858.283064999995986
Centro Educativo de Nivel Secundario N° 02,Secundario de Jóvenes y Adultos,Tandil 6690,MATADEROS,96314.913932499999646,96356.505206699992414
"Centro de Alfabetización, Educación Básica y Trabajo N° 09",Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Avda. Federico Lacroze 4181,CHACARITA,100687.353677999999491,104801.322587999995449
Centro de Formación Profesional N° 04 (sede),Otros Servicios Educativos de la modalidad Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,Carhué 2970,MATADEROS,96566.889049000004889,95646.494483699992998
Centro Educativo de Nivel Secundario N° 71,Secundario de Jóvenes y Adultos,Mariano Acosta 2976,VILLA SOLDATI,101290.763539000006858,96607.775752900008229
